,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
27,27,City Girls,2018-11-16,Act Up,3A2yGHWIzmGEIolwonU69h,81,0.0167,0.938,158332,0.638,0.0,8,0.111,-4.713,1,0.189,97.075,4,0.313
28,28,Post Malone,2018-04-27,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,85,0.58,0.739,221440,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,4,0.439
29,29,Drake,2018-06-29,Nonstop,0TlLq3lA83rQOYtrqBqSct,84,0.0164,0.912,238614,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422
30,30,Travis Scott,2018-08-03,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,86,0.0531,0.763,190557,0.628,0.0,11,0.114,-5.85,1,0.05,140.958,4,0.193
31,31,Flipp Dinero,2018-09-04,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,82,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
32,32,XXXTENTACION,2018-03-16,changes,7AFASza1mXqntmGtbxXprO,86,0.883,0.669,121887,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
33,33,Drake,2018-06-29,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
34,34,Dan + Shay,2018-06-22,Speechless,3GJ4hzg4lrGwU51Y3VARbF,80,0.356,0.616,213387,0.438,0.0,1,0.24,-5.968,1,0.0298,135.929,4,0.386
35,35,Sheck Wes,2018-10-05,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,83,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
36,36,benny blanco,2018-07-12,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,86,0.555,0.56,173800,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319
37,37,Cardi B,2018-04-06,I Like It,58q2HKrzhC3ozto2nDdN4z,85,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
38,38,Travis Scott,2018-08-03,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,83,0.283,0.785,150043,0.554,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,0.144
39,39,Dominic Fike,2018-10-16,3 Nights,1tNJrcVe6gwLEiZCtprs1u,88,0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,4,0.877
40,40,Trippie Redd,2018-11-09,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,80,0.0079,0.825,175954,0.572,0.0,6,0.113,-6.067,0,0.0864,141.991,4,0.568
41,41,Metro Boomin,2018-11-06,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,81,0.368,0.901,203267,0.464,1.71e-05,5,0.238,-9.789,0,0.0645,109.004,4,0.638
42,42,Kina,2018-10-08,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,87,0.72,0.498,179080,0.235,0.0,1,0.144,-16.541,0,0.188,118.917,4,0.0895
43,43,Lil Baby,2018-10-05,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,80,0.0509,0.676,203881,0.578,0.0,10,0.0796,-4.669,0,0.375,158.896,4,0.698
44,44,5 Seconds of Summer,2018-06-15,Youngblood,2iUXsYOEPhVqEBwsqP70rE,85,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,4,0.152
45,45,Juice WRLD,2018-12-10,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,80,0.0414,0.665,175755,0.651,0.0,1,0.0896,-5.515,1,0.156,163.935,4,0.237
46,46,Zedd,2018-01-23,The Middle,09IStsImFySgyp0pIQdqAc,85,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
47,47,Ava Max,2018-08-17,Sweet but Psycho,25sgk305KZfyuqVBQIahim,88,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628
48,48,Post Malone,2018-04-27,Candy Paint,32lItqlMi4LBhb4k0BaSaC,82,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
49,49,Jeremy Zucker,2018-09-28,comethru,18uwL0vNUanqZH0ro2QcOP,87,0.601,0.794,181613,0.188,0.0,0,0.637,-11.957,1,0.0523,93.967,4,0.64
50,50,Cardi B,2018-10-23,Money,2GGMabyHXnJmjY6CXhhB2e,81,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,0.219
51,51,Lil Peep,2018-11-09,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,84,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
52,52,Alec Benjamin,2018-11-16,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,88,0.74,0.652,169354,0.557,0.0,1,0.124,-5.714,0,0.0318,150.073,4,0.483
53,53,Future,2018-10-19,Fine China,5274I4mUMnYczyeXkGDWZN,80,0.0484,0.656,141587,0.542,0.0,7,0.126,-7.358,1,0.323,166.111,4,0.551
54,54,Panic! At The Disco,2018-06-22,"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,81,0.0137,0.577,169667,0.833,0.0,5,0.121,-3.337,1,0.0695,107.936,4,0.58
55,55,The Chainsmokers,2018-12-14,This Feeling,4NBTZtAt1F13VvlSKe6KTl,84,0.0558,0.575,197947,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,4,0.449
56,56,Chris Lane,2018-07-13,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,78,0.602,0.593,207933,0.81,0.0,1,0.119,-5.733,1,0.0625,144.011,4,0.712
57,57,YoungBoy Never Broke Again,2018-12-20,Slime Belief,2qGfZAgDe1pV2y5xJAhi6R,78,0.257,0.748,192606,0.578,0.0,9,0.13,-5.72,1,0.194,140.016,4,0.166
58,58,Summer Walker,2018-10-19,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,80,0.443,0.656,222374,0.432,0.0,6,0.132,-9.481,0,0.217,97.022,4,0.0897
59,59,Luke Combs,2018-06-01,She Got the Best of Me,698eQRku24PIYPQPHItKlA,78,0.0292,0.533,183160,0.907,0.0,11,0.386,-3.793,1,0.0406,150.99,4,0.7
60,60,YNW Melly,2018-11-23,Freddy Krueger (feat. Tee Grizzley),0hwkukpHcBJfGcIUxi1tK2,78,0.0918,0.834,244506,0.621,0.0,7,0.0759,-6.156,1,0.0821,140.05,4,0.613
61,61,Bazzi,2018-04-12,Mine,7uzmGiiJyRfuViKKK3lVmR,82,0.0161,0.71,131064,0.789,2.77e-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717
62,62,Playboi Carti,2018-05-11,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,79,0.191,0.674,153800,0.649,0.0,1,0.122,-8.433,0,0.199,153.069,4,0.48
63,63,Lady Gaga,2018-10-05,Shallow,2VxeLyX666F8uXCJ0dZF8B,89,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
64,64,Tyga,2018-05-16,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,84,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
65,65,Lil Baby,2018-11-30,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,79,0.00127,0.964,154024,0.487,6.57e-06,10,0.115,-6.071,0,0.421,127.05,4,0.107
66,66,Dean Lewis,2018-06-29,Be Alright,3EPXxR3ImUwfayaurPi3cm,85,0.697,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443
67,67,Bad Bunny,2018-10-11,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,85,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158
68,68,Drake,2018-06-29,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,82,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
69,69,Drake,2018-06-29,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,84,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
70,70,Calboy,2018-12-13,Envy Me,05t7JMip6JrLuSrMV5yYjX,79,0.282,0.556,120137,0.481,0.0,11,0.216,-7.663,1,0.313,149.025,4,0.581
71,71,Travis Scott,2018-08-03,STARGAZING,7wBJfHzpfI3032CSD7CE2m,83,0.00947,0.487,270715,0.789,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564
72,72,Trippie Redd,2018-11-09,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,78,0.00587,0.755,215364,0.615,1.75e-06,4,0.109,-8.245,1,0.0454,105.955,4,0.039
73,73,BlocBoy JB,2018-02-09,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,81,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
74,74,Aminé,2018-08-15,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,80,0.073,0.754,121347,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
75,75,Mac Miller,2018-08-03,Self Care,5bJ1DrEM4hNCafcDd1oxHx,80,0.367,0.52,345133,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,4,0.177
76,76,Pink Sweat$,2018-07-12,Honesty,2B1JaRSd7T7YP90n6sCh9I,76,0.964,0.66,189000,0.139,8.02e-06,6,0.104,-16.339,0,0.0322,79.976,4,0.306
77,77,Juice WRLD,2018-12-14,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,79,0.0622,0.715,205800,0.639,0.0,5,0.157,-5.017,0,0.0752,149.996,4,0.151
78,78,Shordie Shordie,2018-12-08,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,77,0.349,0.762,134213,0.383,0.0,5,0.127,-10.098,0,0.202,92.947,4,0.44
79,79,Ellie Goulding,2018-10-24,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,85,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,4,0.492
80,80,SHAED,2018-09-21,Trampoline,0lsRatBUs9HNIZAmoGABzk,79,0.488,0.689,184060,0.412,0.00016,7,0.0659,-7.523,0,0.0301,126.754,4,0.537
81,81,Metro Boomin,2018-11-06,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,79,0.588,0.81,208293,0.353,0.0,6,0.102,-9.931,0,0.31,88.031,4,0.0727
82,82,The Weeknd,2018-03-30,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,83,0.17,0.461,228373,0.593,0.0,1,0.307,-4.954,1,0.0356,134.17,3,0.175
83,83,Kodak Black,2018-12-14,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,78,0.0996,0.91,152000,0.366,0.0,1,0.261,-9.954,1,0.0941,119.985,4,0.74
84,84,Ella Mai,2018-10-12,Trip,6CTWathupIiDs7U4InHnDA,80,0.225,0.477,213993,0.61,0.0,11,0.107,-5.628,0,0.144,79.882,4,0.358
85,85,Post Malone,2018-04-27,Stay,4H7WNRErSbONkM06blBoGc,80,0.414,0.479,204427,0.468,0.0,5,0.148,-5.396,1,0.0274,85.913,4,0.35
86,86,Lauren Daigle,2018-09-07,You Say,6Up545NUflOiXo8cEraH49,83,0.682,0.486,274693,0.632,0.0,5,0.0869,-6.89,1,0.0344,147.892,4,0.0791
87,87,Roddy Ricch,2018-11-02,Down Below,4SWWe2OYC4mqf40Gc2RSdl,78,0.036,0.926,224002,0.454,0.000422,6,0.0896,-9.932,1,0.0732,119.969,4,0.34
88,88,Travis Scott,2018-08-03,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,81,0.201,0.702,198408,0.708,0.0,10,0.118,-5.366,0,0.0547,147.98,4,0.713
89,89,"Earth, Wind & Fire",2018-04-17,September,7Cuk8jsPPoNYQWXK9XRFvG,82,0.165,0.694,215080,0.831,0.000892,9,0.25,-7.288,1,0.0301,125.901,4,0.98
90,90,Shoreline Mafia,2018-07-13,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,77,0.371,0.9,174336,0.385,0.0,1,0.142,-12.189,0,0.435,99.964,4,0.488
91,91,Kaash Paige,2018-11-19,Love Songs,6ABrDJwa6iVFuT1O1F9ZUm,80,0.825,0.654,148629,0.367,0.000505,5,0.106,-10.203,1,0.0938,119.986,4,0.489
92,92,Camila Cabello,2018-01-12,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,86,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
93,93,Lil Mosey,2018-10-19,Kamikaze,3to5UxKsozb4T6CfwHuhLJ,79,0.301,0.792,139200,0.571,0.0,8,0.1,-7.539,0,0.094,99.999,4,0.556
94,94,Russ,2018-09-07,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,81,0.0991,0.716,226693,0.729,0.0,5,0.0842,-6.313,1,0.117,131.975,4,0.276
95,95,Eminem,2018-08-31,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,82,0.0627,0.876,244679,0.786,0.0,10,0.127,-4.884,0,0.306,153.068,4,0.575
96,96,Bazzi,2018-08-02,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,83,0.346,0.638,180000,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249
97,97,Juice WRLD,2018-12-10,Black & White,1fCeXjoRExPP2qwSBh2aST,78,0.0802,0.776,186945,0.736,0.0,7,0.159,-4.612,1,0.247,147.946,4,0.233
98,98,XXXTENTACION,2018-03-16,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,81,0.779,0.699,160184,0.304,0.000993,1,0.137,-11.192,1,0.0993,119.705,4,0.271
99,99,Joji,2018-10-26,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81,0.619,0.672,174358,0.588,0.241,1,0.0992,-9.573,1,0.133,169.033,4,0.204
100,100,Morgan Wallen,2018-04-27,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,76,0.657,0.631,205453,0.591,0.0,7,0.11,-5.785,1,0.0277,97.074,4,0.489
101,101,Khalid,2018-02-14,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,81,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
102,102,Blueface,2018-12-18,Thotiana,3oh6SCCeLuXhFpEyepla6G,80,0.18,0.906,129264,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,0.391
103,103,Juice WRLD,2018-12-10,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,78,0.0381,0.742,258475,0.579,0.0,0,0.0952,-5.024,1,0.202,144.994,4,0.502
104,104,6LACK,2018-09-14,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,79,0.711,0.611,240342,0.466,0.000264,9,0.0847,-11.361,1,0.372,192.08,4,0.223
105,105,Travis Scott,2018-08-03,WAKE UP,20MuVazoNMv6xjKPnRFOxG,80,0.192,0.741,231964,0.645,0.0,11,0.163,-5.116,0,0.0963,149.07,4,0.488
106,106,tobi lou,2018-04-27,Buff Baby,1F1QmI8TMHir9SUFrooq5F,78,0.19,0.736,215385,0.643,0.0,5,0.106,-8.636,1,0.0461,156.002,4,0.599
107,107,Ariana Grande,2018-08-17,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,84,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
108,108,Khalid,2018-04-20,OTW,6Hgh47WXVKtXN5zGOu0hjI,80,0.183,0.652,263014,0.678,3.26e-05,2,0.106,-6.183,1,0.0541,72.989,4,0.28
109,109,Calum Scott,2018-03-09,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,85,0.918,0.331,204326,0.235,0.0,10,0.137,-7.7,1,0.0299,171.232,3,0.218
110,110,6ix9ine,2018-11-27,FEFE,2l8nEO0vsTRCRnGqQty6qx,81,0.088,0.931,179405,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,4,0.376
111,111,A$AP Rocky,2018-05-25,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,83,0.0609,0.85,205040,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,4,0.294
112,112,Khalid,2018-10-18,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,80,0.606,0.551,210667,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341
113,113,King Princess,2018-02-23,1950,0CZ8lquoTX2Dkg7Ak2inwA,81,0.648,0.6,225133,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269
114,114,Imagine Dragons,2018-11-09,Natural,2FY7b99s15jUprqC0M5NCT,85,0.217,0.704,189467,0.611,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22
115,115,Ski Mask The Slump God,2018-11-30,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,77,0.113,0.808,166400,0.617,0.0,10,0.734,-9.32,0,0.442,149.962,4,0.632
116,116,Calum Scott,2018-03-09,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,84,0.839,0.682,260285,0.173,3.26e-05,1,0.0983,-8.749,1,0.0314,112.663,4,0.236
117,117,YoungBoy Never Broke Again,2018-06-29,Outside Today,3sA7HKGzcKTVscdiTCrWpX,75,0.139,0.851,129105,0.666,0.0,11,0.105,-5.334,0,0.0694,134.068,4,0.0585
118,118,Wiz Khalifa,2018-07-13,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,78,0.307,0.877,226743,0.477,0.0,9,0.0929,-7.379,0,0.0587,127.023,4,0.552
119,119,Alessia Cara,2018-11-30,Out Of Love,4WzhjxvLP95y7AMDy0Atwb,80,0.8,0.492,227693,0.267,0.0,7,0.249,-9.25,1,0.0336,117.679,3,0.137
120,120,YG,2018-08-03,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,77,0.00552,0.745,237240,0.346,0.0,1,0.0881,-7.709,1,0.331,203.911,4,0.112
121,121,88rising,2018-07-20,Midsummer Madness,6TodWdTSDfzwgYynTZSvJn,80,0.359,0.409,280842,0.678,4.76e-06,9,0.167,-7.731,1,0.0878,89.968,4,0.168
122,122,Dan + Shay,2018-06-22,Tequila,42fw0rxRO2xbesF6mJfd4Y,77,0.0312,0.489,196747,0.581,0.0,11,0.132,-5.731,1,0.0281,86.016,4,0.494
123,123,XXXTENTACION,2018-03-16,Hope,2ZRo7axmMPeSVUvDbGkJah,80,0.661,0.592,110886,0.457,0.000331,9,0.146,-6.081,0,0.0603,146.04,4,0.225
124,124,Cardi B,2018-04-06,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,78,0.0659,0.926,223713,0.703,0.0,11,0.231,-6.337,0,0.103,125.022,4,0.485
125,125,John Mayer,2018-05-10,New Light,3bH4HzoZZFq8UpZmI2AMgV,82,0.325,0.828,216015,0.689,0.0384,7,0.0808,-7.878,1,0.0326,123.931,4,0.853
126,126,Jeremy Zucker,2018-05-04,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,80,0.836,0.773,169973,0.437,2.42e-05,9,0.544,-8.281,1,0.0963,103.861,4,0.707
127,127,Roddy Ricch,2018-11-02,Die Young,3wLtYwtqvKK2ewelSVPeDK,78,0.218,0.688,157657,0.656,0.0,4,0.115,-5.541,0,0.276,160.414,4,0.365
128,128,Bebe Rexha,2018-06-22,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,82,0.00281,0.63,195519,0.694,0.0,11,0.0719,-6.257,0,0.0253,97.005,4,0.216
129,129,Trippie Redd,2018-08-10,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,77,0.68,0.767,121680,0.538,0.0,0,0.192,-6.044,0,0.052,81.031,4,0.343
130,130,Rich The Kid,2018-03-30,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,79,0.202,0.876,175230,0.519,0.0,11,0.108,-6.531,1,0.143,94.981,4,0.158
131,131,Anne-Marie,2018-04-27,2002,2BgEsaKNfHUdlh97KmvFyo,85,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603
132,133,Ruel,2018-04-27,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,79,0.102,0.688,189608,0.5,0.0,2,0.355,-7.411,1,0.138,127.906,3,0.418
133,134,Haiti Babii,2018-12-05,Change Ya Life,5JboK5zbbhXIN7iN9NHS8t,77,0.0224,0.696,156770,0.399,0.0,4,0.0747,-8.673,0,0.0369,98.004,4,0.364
134,136,Selena Gomez,2018-05-10,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,83,0.0945,0.601,207905,0.724,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,0.508
135,137,Juice WRLD,2018-06-22,Legends,1Knctxx9vGZxpZfF66BIEa,78,0.115,0.594,191840,0.798,0.0,4,0.143,-5.244,1,0.0844,142.049,4,0.381
136,138,YBN Cordae,2018-07-13,Kung Fu,1eEYbTvRWPEozV0ttNO0NC,77,0.0227,0.876,199680,0.608,1.16e-05,8,0.107,-6.019,1,0.109,124.983,4,0.258
137,139,Nio Garcia,2018-04-13,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,82,0.542,0.903,417920,0.675,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442
138,140,girl in red,2018-11-21,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,79,0.113,0.566,184154,0.366,0.181,7,0.155,-12.808,1,0.028,129.959,4,0.237
